<html><head>
<meta http-equiv="content-type" content="text/html; charset=windows-1252"><link href="TREC_UTARELS_0_tiedostot/screen.css" rel="stylesheet" type="text/css"><link href="TREC_UTARELS_0_tiedostot/screen_004.css" rel="stylesheet" type="text/css"><link href="TREC_UTARELS_0_tiedostot/screen_003.css" rel="stylesheet" type="text/css"><link href="TREC_UTARELS_0_tiedostot/screen_002.css" rel="stylesheet" type="text/css"></head><body><div class="fixed leftAlign">
351,00;"FT921-8458";0,00<br>
351,00;"FT911-3129";0,00<br>
351,00;"FR940711-2-00075";0,00<br>
351,00;"FT933-10407";0,00<br>
351,00;"FBIS3-6105";0,00<br>
351,00;"FT933-9424";0,00<br>
351,00;"FT921-10790";0,00<br>
351,00;"FT941-4859";0,00<br>
351,00;"FT933-14317";0,00<br>
351,00;"FT932-4704";0,00<br>
351,00;"FT931-10913";0,00<br>
351,00;"FT942-9957";0,00<br>
351,00;"FBIS3-26403";0,00<br>
351,00;"FT932-14945";0,00<br>
351,00;"FT942-14672";0,00<br>
351,00;"FBIS3-4492";0,00<br>
351,00;"FBIS3-19947";0,00<br>
351,00;"FT921-9722";0,00<br>
351,00;"FBIS4-44591";0,00<br>
351,00;"FT923-1456";0,00<br>
351,00;"FT931-2850";0,00<br>
351,00;"FT932-7164";0,00<br>
351,00;"FBIS3-35630";0,00<br>
351,00;"FR940831-2-00096";0,00<br>
351,00;"FT924-4684";0,00<br>
351,00;"FT933-4873";0,00<br>
351,00;"FT931-12754";0,00<br>
351,00;"FT941-10160";0,00<br>
351,00;"FT942-3947";0,00<br>
351,00;"FT921-13397";0,00<br>
351,00;"FT923-9828";0,00<br>
351,00;"FBIS3-51370";0,00<br>
351,00;"FBIS4-62965";0,00<br>
351,00;"FBIS4-27350";0,00<br>
351,00;"FBIS4-34747";0,00<br>
351,00;"FT924-1564";0,00<br>
351,00;"FT931-15581";0,00<br>
351,00;"FT923-12334";0,00<br>
351,00;"FT934-154";0,00<br>
351,00;"FT941-7250";0,00<br>
351,00;"FT922-1889";0,00<br>
351,00;"FT921-6272";0,00<br>
351,00;"FBIS4-50587";0,00<br>
351,00;"FBIS4-11114";0,00<br>
351,00;"FBIS4-56465";0,00<br>
351,00;"FT941-15231";0,00<br>
351,00;"FT933-292";0,00<br>
351,00;"FT931-697";0,00<br>
351,00;"FT932-2389";0,00<br>
351,00;"FR941026-0-00033";0,00<br>
351,00;"FT934-5297";0,00<br>
351,00;"FT941-9013";0,00<br>
351,00;"FBIS3-18201";0,00<br>
351,00;"FBIS4-9937";0,00<br>
351,00;"FBIS4-10796";0,00<br>
351,00;"FT922-8327";0,00<br>
351,00;"FT921-3445";0,00<br>
351,00;"FT932-10191";0,00<br>
351,00;"FBIS4-7511";0,00<br>
351,00;"FT923-528";0,00<br>
351,00;"FR940406-0-00190";0,00<br>
351,00;"FBIS4-20504";0,00<br>
351,00;"LA121089-0199";0,00<br>
351,00;"FT944-4211";0,00<br>
351,00;"FT944-15849";0,00<br>
351,00;"FT944-8681";0,00<br>
351,00;"LA102389-0104";0,00<br>
351,00;"LA021690-0066";0,00<br>
351,00;"FT944-11948";0,00<br>
351,00;"FT943-2256";0,00<br>
351,00;"FT944-14045";0,00<br>
351,00;"LA080589-0060";0,00<br>
351,00;"LA052289-0038";0,00<br>
351,00;"FT943-6936";0,00<br>
351,00;"LA041089-0037";0,00<br>
353,00;"FBIS4-26976";0,00<br>
353,00;"FBIS4-50017";0,00<br>
353,00;"FBIS4-45616";0,00<br>
353,00;"FBIS3-26807";0,00<br>
353,00;"FBIS3-36765";0,00<br>
353,00;"FBIS4-35009";0,00<br>
353,00;"FBIS4-14443";0,00<br>
353,00;"FBIS4-41012";0,00<br>
353,00;"FBIS3-22159";0,00<br>
353,00;"FBIS4-45672";0,00<br>
353,00;"FBIS4-32929";0,00<br>
353,00;"FBIS4-47539";0,00<br>
353,00;"FBIS4-25243";0,00<br>
353,00;"FBIS3-42013";0,00<br>
353,00;"FBIS4-57924";0,00<br>
353,00;"FBIS4-45671";0,00<br>
353,00;"FBIS4-57442";0,00<br>
353,00;"FBIS4-32928";0,00<br>
353,00;"FBIS4-45631";0,00<br>
353,00;"FBIS3-59708";0,00<br>
353,00;"FBIS3-6900";0,00<br>
353,00;"FBIS3-55559";0,00<br>
353,00;"FBIS3-40517";0,00<br>
353,00;"FBIS3-41571";0,00<br>
353,00;"FBIS4-27177";0,00<br>
353,00;"FBIS3-1636";0,00<br>
353,00;"FBIS4-58311";0,00<br>
353,00;"FBIS3-22404";0,00<br>
353,00;"FBIS3-25406";0,00<br>
353,00;"FBIS3-22135";0,00<br>
353,00;"FBIS4-51204";0,00<br>
353,00;"FBIS3-46362";0,00<br>
353,00;"FBIS3-23562";0,00<br>
353,00;"FBIS4-22352";0,00<br>
353,00;"FBIS3-43085";0,00<br>
353,00;"FBIS3-44815";0,00<br>
353,00;"FBIS3-32539";0,00<br>
353,00;"FBIS3-20934";0,00<br>
353,00;"FBIS4-23037";0,00<br>
353,00;"FBIS3-22212";0,00<br>
353,00;"FBIS3-61533";0,00<br>
353,00;"FBIS4-44914";0,00<br>
353,00;"FBIS3-22119";0,00<br>
353,00;"FBIS4-2042";0,00<br>
353,00;"FBIS4-66308";0,00<br>
353,00;"FBIS3-41666";0,00<br>
353,00;"FT921-15469";0,00<br>
353,00;"FT924-4931";0,00<br>
353,00;"FT922-8541";0,00<br>
353,00;"FT921-10168";0,00<br>
353,00;"FR940105-2-00091";0,00<br>
353,00;"FR941102-2-00078";0,00<br>
353,00;"FR940927-0-00112";0,00<br>
353,00;"FT921-7538";0,00<br>
353,00;"FR940628-2-00003";0,00<br>
353,00;"FT922-260";0,00<br>
