topic,relevant num,highest tau (ap-rbp),p
351,48,0.954312,0.978
352,246,0.924615,0.991
353,122,0.912431,0.989
354,361,0.936798,0.995
355,45,0.89644,0.985
356,17,0.829431,0.981
357,270,0.959642,0.995
358,51,0.92728,0.983
359,28,0.851133,0.993
360,151,0.942128,0.992
361,9,0.895298,0.855
362,39,0.902151,0.958
363,16,0.835903,0.925
364,35,0.889206,0.974
365,35,0.969922,0.972
366,99,0.939844,0.989
367,189,0.905197,0.992
368,61,0.952408,0.982
369,13,0.899486,0.926
370,336,0.939844,0.996
371,17,0.87588,0.827
372,49,0.905958,0.965
373,33,0.87588,0.935
374,204,0.907481,0.996
375,80,0.912431,0.986
376,102,0.940225,0.991
377,39,0.869027,0.976
378,98,0.923472,0.997
379,16,0.875119,0.954
380,7,0.88616,0.813
381,28,0.846564,0.879
382,22,0.883495,0.931
383,146,0.905578,0.993
384,51,0.874738,0.987
385,86,0.929564,0.985
386,19,0.788311,0.993
387,85,0.857605,0.986
388,51,0.931848,0.985
389,194,0.887683,0.997
390,134,0.92233,0.983
391,178,0.950885,0.994
392,105,0.931087,0.99
393,71,0.937179,0.957
394,17,0.92728,0.822
395,213,0.870169,0.993
396,59,0.93261,0.978
397,27,0.851894,0.99
398,145,0.95317,0.993
399,102,0.90177,0.992
400,125,0.923472,0.99
