topic,relevant num,rbo,p
351,48,0.983251,0.983
352,246,0.828831,0.995
353,122,0.881873,0.992
354,361,0.943051,0.995
355,45,0.939937,0.977
356,17,0.888285,0.97
357,270,0.980825,0.994
358,51,0.942623,0.967
359,28,0.897761,0.964
360,151,0.892307,0.993
361,9,0.946739,0.794
362,39,0.911685,0.97
363,16,0.869571,0.94
364,35,0.844469,0.926
365,35,0.986249,0.965
366,99,0.91143,0.988
367,189,0.959971,0.987
368,61,0.95743,0.98
369,13,0.944637,0.943
370,336,0.93512,0.998
371,17,0.843788,0.713
372,49,0.874584,0.963
373,33,0.800935,0.957
374,204,0.909897,0.995
375,80,0.945175,0.963
376,102,0.956895,0.99
377,39,0.816898,0.975
378,98,0.937263,0.996
379,16,0.938354,0.936
380,7,0.773736,0.724
381,28,0.870654,0.955
382,22,0.950756,0.944
383,146,0.988805,0.989
384,51,0.807544,0.985
385,86,0.946321,0.984
386,19,0.771403,0.911
387,85,0.864548,0.984
388,51,0.883795,0.932
389,194,0.946612,0.975
390,134,0.928033,0.993
391,178,0.987865,0.993
392,105,0.848868,0.978
393,71,0.969945,0.968
394,17,0.96739,0.892
395,213,0.843893,0.996
396,59,0.918172,0.98
397,27,0.97482,0.969
398,145,0.916134,0.988
399,102,0.905223,0.986
400,125,0.753698,0.986
