topic,relevant num,highest tau (ap-rbp),p
301,448,0.940951,0.995
302,65,0.911593,0.985
303,10,0.848207,0.725
304,196,0.866889,0.996
305,35,0.83653,0.997
306,332,0.937615,0.996
307,210,0.897915,0.997
308,4,0.927606,0.76
309,3,0.947289,0.997
310,13,0.888574,0.862
311,182,0.966639,0.994
312,11,0.961301,0.886
313,93,0.973978,0.987
314,44,0.929274,0.975
315,67,0.811843,0.997
316,34,0.952627,0.955
317,14,0.948957,0.934
318,113,0.817181,0.992
319,170,0.875897,0.995
320,6,0.893912,0.9
321,203,0.939616,0.993
322,34,0.854212,0.975
323,61,0.934612,0.972
324,161,0.95563,0.994
325,24,0.879233,0.961
326,46,0.944287,0.97
327,11,0.902252,0.964
328,8,0.95563,0.863
329,35,0.899917,0.962
330,60,0.909925,0.989
331,213,0.954629,0.994
332,254,0.939283,0.996
333,65,0.858549,0.987
334,9,0.944621,0.9
335,66,0.922936,0.993
336,12,0.862219,0.846
337,93,0.85955,0.988
338,4,0.912594,0.735
339,10,0.865221,0.847
340,69,0.89558,0.928
341,78,0.926272,0.98
342,20,0.917264,0.922
343,258,0.955963,0.996
344,5,0.921601,0.947
345,38,0.853211,0.994
346,105,0.894245,0.995
347,152,0.898916,0.998
348,5,0.974312,0.818
349,73,0.899583,0.965
350,68,0.878232,0.979
351,48,0.906589,0.976
352,246,0.940617,0.989
353,122,0.928607,0.992
354,361,0.926939,0.996
355,45,0.918599,0.981
356,17,0.721435,0.984
357,270,0.951626,0.995
358,51,0.881902,0.984
359,28,0.882569,0.993
360,151,0.935947,0.994
361,9,0.946289,0.903
362,39,0.865555,0.936
363,16,0.841868,0.91
364,35,0.889575,0.978
365,35,0.939283,0.959
366,99,0.924937,0.991
367,189,0.89191,0.993
368,61,0.947289,0.982
369,13,0.812177,0.951
370,336,0.9603,0.997
371,17,0.839867,0.921
372,49,0.937281,0.933
373,33,0.851543,0.933
374,204,0.846872,0.996
375,80,0.842869,0.972
376,102,0.911927,0.993
