topic,relevant num,highest tau (ndcg-rbp),p
301,448,0.944621,0.999
302,65,0.833862,0.999
303,10,0.884237,0.717
304,196,0.864887,0.999
305,35,0.929608,0.999
306,332,0.933945,0.999
307,210,0.906589,0.999
308,4,0.844204,0.887
309,3,0.954962,0.999
310,13,0.808173,0.899
311,182,0.934279,0.999
312,11,0.89558,0.885
313,93,0.918265,0.999
314,44,0.910592,0.997
315,67,0.867223,0.999
316,34,0.794495,0.995
317,14,0.847206,0.996
318,113,0.880234,0.998
319,170,0.872227,0.999
320,6,0.858549,0.858
321,203,0.929942,0.998
322,34,0.866222,0.999
323,61,0.845538,0.997
324,161,0.922936,0.999
325,24,0.795163,0.76
326,46,0.837531,0.976
327,11,0.821852,0.925
328,8,0.877231,0.857
329,35,0.810842,0.997
330,60,0.850209,0.999
331,213,0.94362,0.998
332,254,0.929608,0.999
333,65,0.808173,0.999
334,9,0.909591,0.931
335,66,0.880567,0.998
336,12,0.745455,0.87
337,93,0.774145,0.997
338,4,0.832193,0.62
339,10,0.879566,0.7
340,69,0.892244,0.999
341,78,0.847873,0.999
342,20,0.849208,0.941
343,258,0.96397,0.999
344,5,0.849208,0.884
345,38,0.843536,0.998
346,105,0.924604,0.998
347,152,0.946956,0.999
348,5,0.92427,0.79
349,73,0.882569,0.998
350,68,0.887239,0.998
351,48,0.832527,0.995
352,246,0.935947,0.998
353,122,0.899249,0.998
354,361,0.927273,0.999
355,45,0.872894,0.992
356,17,0.85588,0.999
357,270,0.956964,0.999
358,51,0.799166,0.976
359,28,0.87623,0.998
360,151,0.897581,0.998
361,9,0.874562,0.75
362,39,0.759133,0.99
363,16,0.717765,0.919
364,35,0.707423,0.996
365,35,0.860217,0.993
366,99,0.841868,0.994
367,189,0.840867,0.994
368,61,0.932944,0.999
369,13,0.757798,0.998
370,336,0.952627,0.999
371,17,0.832193,0.998
372,49,0.899583,0.998
373,33,0.791827,0.996
374,204,0.861218,0.999
375,80,0.859216,0.999
376,102,0.902252,0.998
377,39,0.823853,0.998
378,98,0.924937,0.999
379,16,0.767473,0.977
380,7,0.793161,0.926
381,28,0.820851,0.999
382,22,0.732444,0.784
383,146,0.81985,0.999
384,51,0.629691,0.985
385,86,0.873561,0.997
386,19,0.801168,0.999
387,85,0.838198,0.998
388,51,0.851543,0.968
389,194,0.845204,0.998
390,134,0.960634,0.999
391,178,0.924937,0.998
392,105,0.807506,0.999
393,71,0.80784,0.997
394,17,0.856214,0.88
395,213,0.892244,0.999
396,59,0.91593,0.998
397,27,0.842535,0.977
398,145,0.918265,0.998
399,102,0.877231,0.999
400,125,0.923603,0.999
