topic,relevant num,rbo (ndcg-rbp),p
301,448,0.968411,0.998
302,65,0.285449,0.983
303,10,0.912692,0.68
304,196,0.844875,0.999
305,35,0.894728,0.999
306,332,0.873075,0.999
307,210,0.855007,0.999
308,4,0.887449,0.927
309,3,0.885896,0.965
310,13,0.839342,0.998
311,182,0.947455,0.999
312,11,0.975829,0.89
313,93,0.905319,0.999
314,44,0.857609,0.997
315,67,0.793297,0.927
316,34,0.656039,0.985
317,14,0.805612,0.974
318,113,0.909761,0.995
319,170,0.549315,0.993
320,6,0.988972,0.784
321,203,0.885543,0.999
322,34,0.857332,0.951
323,61,0.719394,0.941
324,161,0.683728,0.972
325,24,0.718333,0.919
326,46,0.620702,0.98
327,11,0.663852,0.7
328,8,0.841098,0.933
329,35,0.854199,0.969
330,60,0.744285,0.988
331,213,0.750583,0.998
332,254,0.801454,0.999
333,65,0.861734,0.998
334,9,0.929115,0.876
335,66,0.871617,0.997
336,12,0.896178,0.83
337,93,0.66995,0.889
338,4,0.77701,0.92
339,10,0.906299,0.7
340,69,0.831538,0.946
341,78,0.686407,0.999
342,20,0.731008,0.929
343,258,0.943558,0.998
344,5,0.604322,0.767
345,38,0.805302,0.934
346,105,0.888917,0.999
347,152,0.834347,0.999
348,5,0.989553,0.79
349,73,0.957078,0.998
350,68,0.92638,0.999
351,48,0.765621,0.987
352,246,0.82488,0.999
353,122,0.838741,0.996
354,361,0.936894,0.999
355,45,0.770726,0.994
356,17,0.704282,0.982
357,270,0.938326,0.999
358,51,0.920664,0.961
359,28,0.849532,0.944
360,151,0.981602,0.998
361,9,0.797756,0.986
362,39,0.791337,0.999
363,16,0.838537,0.861
364,35,0.799548,0.971
365,35,0.943272,0.984
366,99,0.53176,0.986
367,189,0.899598,0.998
368,61,0.855422,0.995
369,13,0.738546,0.95
370,336,0.9713,0.999
371,17,0.551108,0.998
372,49,0.963699,0.984
373,33,0.734838,0.997
374,204,0.721158,0.999
375,80,0.712608,0.98
376,102,0.69017,0.999
377,39,0.792867,0.907
378,98,0.811721,0.985
379,16,0.877631,0.988
380,7,0.891204,0.68
381,28,0.840065,0.994
382,22,0.818339,0.991
